Basler camera_prev,Basler camera_rec,Nozzle camera_prev,Nozzle camera_rec,Webcam 2_prev,Webcam 2_rec,Basler camera_fps,Basler camera_time,Basler camera_frames,Basler camera_dropped,Basler camera_pct_dropped,Nozzle camera_fps,Nozzle camera_time,Nozzle camera_frames,Nozzle camera_dropped,Nozzle camera_pct_dropped,Webcam 2_fps,Webcam 2_time,Webcam 2_frames,Webcam 2_dropped,Webcam 2_pct_dropped
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,100,20.11,2011,11,0.005469915,,,,,,,,,,
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,100,20.27,2027,25,0.012333498,15,,,,,,,,,
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100,20.4,2040,37,0.018137255,15,,,,,15,,,,
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,100,19.98,1998,0,0,15,,,,,,,,,
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,100,20.16,2016,13,0.006448413,15,19.698,294,98,0.333333333,,,,,
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,100,20.28,2028,24,0.01183432,15,19.899,297,100,0.336700337,,,,,
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,100,20.41,2041,37,0.018128368,15,19.899,297,100,0.336700337,15,,,,
FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,100,20,2000,0,0,15,19.899,297,100,0.336700337,,,,,
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,100,20.17,2017,12,0.00594943,15,19.832,296,100,0.337837838,15,19.631,293,98,0.33447099
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,100,20.3,2030,24,0.01182266,15,19.899,297,100,0.336700337,15,19.698,294,98,0.333333333
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100,20.41,2041,36,0.017638413,15,19.966,298,100,0.33557047,15,19.899,297,100,0.336700337
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,100,20,2000,0,0,15,19.899,297,100,0.336700337,15,19.698,294,98,0.333333333
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,100,,,,,15,19.631,293,98,0.33447099,,,,,
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,100,,,,,15,19.832,296,100,0.337837838,,,,,
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,100,,,,,15,19.966,298,100,0.33557047,15,,,,
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,15,19.832,296,100,0.337837838,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.009135536,,,,,0.336700337,,,,,0.333902162
